project_id,property_id,project_type,capital_required,expected_noi_lift,expected_value_lift,risk_reduction_points,priority_note
CAP-P016-1,P016,Energy retrofit,281670.0,26824.02,592962.46,7.43,Energy retrofit expected to improve NOI and reduce operating risk.
CAP-P016-2,P016,Debt paydown,460067.0,29393.49,649762.14,10.84,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P017-1,P017,Energy retrofit,182545.0,19237.5,424452.17,4.5,Energy retrofit expected to improve NOI and reduce operating risk.
CAP-P017-2,P017,Building systems,487969.0,38012.27,838694.48,3.5,Building systems expected to improve NOI and reduce operating risk.
CAP-P018-1,P018,Building systems,536847.0,62247.55,1224203.21,9.64,Building systems expected to improve NOI and reduce operating risk.
CAP-P018-2,P018,Unit renovation,801161.0,89816.89,1766401.0,7.79,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P019-1,P019,Debt paydown,677488.0,87294.96,1694403.66,8.95,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P019-2,P019,Debt paydown,373464.0,27690.57,537476.55,7.51,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P020-1,P020,Unit renovation,412592.0,38778.86,876428.72,2.85,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P020-2,P020,Building systems,641505.0,54491.79,1231551.77,11.6,Building systems expected to improve NOI and reduce operating risk.
CAP-P021-1,P021,Energy retrofit,547400.0,49760.16,1146510.44,8.81,Energy retrofit expected to improve NOI and reduce operating risk.
CAP-P021-2,P021,Debt paydown,335052.0,25696.0,592054.57,7.39,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P022-1,P022,Unit renovation,849782.0,69883.8,1470230.38,6.12,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P022-2,P022,Unit renovation,539387.0,37844.05,796171.32,10.11,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P023-1,P023,Debt paydown,378918.0,41526.71,852852.72,5.89,Debt paydown expected to improve NOI and reduce operating risk.
CAP-P023-2,P023,Energy retrofit,465598.0,50753.58,1042349.12,10.23,Energy retrofit expected to improve NOI and reduce operating risk.
CAP-P024-1,P024,Unit renovation,510613.0,45983.29,1029920.06,4.98,Unit renovation expected to improve NOI and reduce operating risk.
CAP-P024-2,P024,Energy retrofit,241946.0,31032.08,695047.25,2.88,Energy retrofit expected to improve NOI and reduce operating risk.
